x,x1,x2,x3,x4,x5,x6,x7
2178,53,44,41,23,165,99,45
2179,53,44,41,23,165,99,45
2180,53,44,41,23,165,99,45
2181,53,44,41,23,165,99,45
2182,53,44,41,23,165,99,45
2183,53,44,41,23,165,99,45
2184,53,44,41,23,165,99,45
2185,53,44,41,23,165,99,45
2186,53,44,41,23,165,99,45
2187,53,44,41,23,165,100,45
2188,53,44,41,23,165,100,45
2189,53,44,41,23,165,100,45
2190,53,44,41,23,165,100,45
2191,53,44,41,23,165,100,45
2192,53,44,41,23,165,100,45
2193,53,44,41,23,165,100,45
2194,53,44,41,23,165,100,45
2195,53,44,41,23,165,100,45
2196,53,44,41,23,165,100,45
2197,53,44,41,23,165,100,45
2198,53,44,41,23,165,100,45
2199,53,44,41,23,165,100,45
2200,53,44,41,23,165,100,45
2201,53,44,41,23,165,100,45
2202,53,44,41,23,165,100,45
2203,53,44,41,23,165,100,45
2204,53,44,41,23,165,100,45
2205,53,44,41,23,165,100,45
2206,53,44,41,23,165,100,45
2207,53,44,41,23,165,100,45
2208,53,44,41,23,165,100,45
2209,53,44,41,23,165,100,45
2210,53,44,41,23,165,100,45
2211,53,44,41,23,165,100,45
2212,53,44,41,23,165,100,45
2213,53,44,41,23,165,100,45
2214,53,44,41,23,165,100,45
2215,53,44,41,23,165,100,45
2216,53,44,41,23,165,100,45
2217,53,44,41,23,165,100,45
2218,53,44,41,23,165,100,45
2219,53,44,41,23,165,100,45
2220,53,44,41,23,165,100,45
2221,53,44,41,23,165,100,45
2222,53,44,41,23,165,100,45
2223,53,44,41,23,165,100,45
2224,53,44,41,23,165,100,45
2225,53,44,41,23,165,100,45
2226,53,44,41,23,165,100,45
2227,53,44,41,23,165,100,45
2228,53,44,41,23,165,100,45
2229,53,44,41,23,165,100,45
2230,53,44,41,23,166,100,45
2231,53,44,41,23,166,100,45
2232,53,44,41,23,166,100,45
2233,53,44,41,23,166,100,45
2234,53,44,41,23,166,100,45
2235,53,44,41,23,166,100,45
2236,53,44,41,23,166,100,45
2237,53,44,41,23,166,100,45
2238,53,44,41,24,166,100,45
2239,53,44,41,24,166,100,45
2240,53,44,41,24,166,100,45
2241,53,44,41,24,166,100,45
2242,53,44,41,24,166,100,45
2243,53,44,41,24,166,100,45
2244,53,44,41,24,166,100,45
2245,53,44,41,24,166,100,45
2246,53,44,41,24,166,100,45
2247,53,44,41,24,166,100,45
2248,53,44,41,24,166,100,45
2249,53,44,41,24,166,100,45
2250,53,44,41,24,166,100,45
2251,53,44,41,24,166,100,45
2252,53,44,41,24,166,100,45
2253,53,44,41,24,166,100,45
2254,53,44,41,24,166,100,45
2255,53,44,41,24,166,100,45
2256,53,44,41,24,166,100,45
2257,53,44,41,24,166,100,45
2258,53,44,41,24,166,100,45
2259,53,44,41,24,166,100,45
2260,53,44,41,24,166,100,45
2261,53,44,41,24,166,100,45
2262,53,44,41,24,166,100,45
2263,53,44,41,24,166,100,45
2264,53,44,41,24,166,101,45
2265,53,44,41,24,166,101,45
2266,53,44,41,24,166,101,45
2267,53,44,41,24,166,101,45
2268,53,44,41,24,166,101,45
